GitHub Quantum Projects Search Summary
========================================
Summary generated on: 2026-01-20 21:00:00

--- Overall Statistics ---
Total unique projects found (candidates): 493
Projects filtered out:                    417
Final projects considered for analysis:   76

--- Filtered-Out Projects ---
Repository                                                                                           Reason for Filtering
----------------------------------------------------------------------------------------------------------------------------------------------
0xBoji/quantum-computing-examples                                                                    Not enough stars (1 < 30)
0xReLogic/Chaos                                                                                      Not enough stars (17 < 30)
1chooo/quantum-oracle                                                                                Not enough stars (1 < 30)
2forts/hateval-trainer                                                                               Not enough stars (1 < 30)
4d6174686973/circuit-design                                                                          Not enough stars (0 < 30)
abc8255/Q-Array-Multiplier                                                                           Not enough stars (1 < 30)
Abhishektatavarthy/Quantumprojects                                                                   Not enough stars (3 < 30)
aboev/quantum-job-scheduler                                                                          Not enough stars (3 < 30)
adamisntdead/QuSimPy                                                                                 Inactive since 2021-06-04
adelshb/hidden-shift-problem-on-quantum-computer                                                     Not enough stars (1 < 30)
adelshb/quantum-portfolio-optimization                                                               Not enough stars (15 < 30)
Adem-rahal/QML_first_circuit                                                                         Not enough stars (0 < 30)
adgt/pulsemaker                                                                                      Not enough stars (25 < 30)
AdrianLipa90/CIEL-Omega-General-Quantum-Consciousness                                                Not enough stars (4 < 30)
AgnostiqHQ/covalent-braket-plugin                                                                    Not enough stars (8 < 30)
AgnostiqHQ/covalent-slurm-plugin                                                                     Not enough stars (26 < 30)
ahmed19999520-alt/EQST-GP-Theory                                                                     Not enough stars (3 < 30)
ahmed19999520-alt/Veronica-X-Pro-open-source-code-2.0                                                Not enough stars (2 < 30)
AhmeedAdelMahmoud/HQECC-Threshold                                                                    Not enough stars (4 < 30)
ahmeterdempmk/Quantum-Safe-Cryptography                                                              Not enough stars (1 < 30)
AI4Finance-Foundation/Quantum-Tensor-Networks-for-Variational-Reinforcement-Learning-NeurIPS-2020    Not enough stars (13 < 30)
AIComputing101/quantum-computing-101                                                                 Not enough stars (5 < 30)
Airscker/TorchQPT                                                                                    Not enough stars (0 < 30)
albertnieto/qcml                                                                                     Not enough stars (7 < 30)
AlejandroJRosales/QuantumNeuralNetwork                                                               Not enough stars (0 < 30)
alessandrosebastianelli/hqm                                                                          Not enough stars (4 < 30)
Alexdruso/II2202-Research-Quantum-ML-Sanvito-Stuart                                                  Not enough stars (1 < 30)
Alice-Bob-SW/qiskit-alice-bob-provider                                                               Not enough contributors (7 < 10)
altanai/cirq_quantum_programming                                                                     Not enough stars (4 < 30)
amazon-braket/amazon-braket-examples                                                                 Excluded by Keyword 'books' in name/description
Amon20044/Quantum-Bayes-classifiers-and-their-application-in-image-classification                    Not enough stars (0 < 30)
aMorteza/Quantum-Computing-Search-Algorithms                                                         Not enough stars (3 < 30)
AmrMKayid/KayQRL                                                                                     Not enough stars (2 < 30)
Anish-M-code/pqcrypt                                                                                 Not enough contributors (3 < 10)
Anonymous0-0paper/QUEST                                                                              Not enough stars (0 < 30)
antonin-lfv/QMeans                                                                                   Not enough stars (1 < 30)
Aqasch/KANQAS_code                                                                                   Not enough stars (17 < 30)
ArlineQ/arline_benchmarks                                                                            Inactive since 2022-03-02
artificial-brain/quantumcat                                                                          Not enough stars (28 < 30)
aru71727/bb84_protocol                                                                               Not enough stars (18 < 30)
aru71727/Secure-Communication-using-QKD                                                              Not enough stars (21 < 30)
Ashad001/2Q48                                                                                        Not enough stars (1 < 30)
Atharva-sp21/Quantum-Equivariant-Graph-Neural-Networks-for-Protein-Modeling                          Not enough stars (0 < 30)
Aurux/quantum-tsp                                                                                    Not enough stars (1 < 30)
avimallick/quantum-simulator                                                                         Not enough stars (0 < 30)
aw-junaid/Quantum-Mechanics                                                                          Not enough stars (13 < 30)
beefy/quantum-simulator                                                                              Not enough stars (0 < 30)
Benaah/quantum-algorithms                                                                            Not enough stars (0 < 30)
Benaah/quantum-machine-learning                                                                      Not enough stars (0 < 30)
BenjaminDecker/quantum-cellular-automaton                                                            Archived repository
bestquark/mentpy                                                                                     Archived repository
BharadwajMahanthi/Quantbiologicalwithml                                                              Not enough stars (1 < 30)
BlackRoad-OS/roadquantum                                                                             Not enough stars (0 < 30)
Bmete7/QuantumNeuralNet                                                                              Not enough stars (11 < 30)
BOHRTECHNOLOGY/public_research                                                                       Not enough stars (17 < 30)
BOHRTECHNOLOGY/quantum_tsp                                                                           Inactive since 2019-09-14
BOHRTECHNOLOGY/yellow_submarine                                                                      Not enough stars (11 < 30)
BQSKit/qsearch                                                                                       Archived repository
bqth29/simulated-bifurcation-algorithm                                                               Not enough contributors (4 < 10)
bruh-moment-0/psm-client                                                                             Not enough stars (0 < 30)
brunorijsman/cascade-python                                                                          Not enough stars (25 < 30)
Canoming/VariationalQCircuit                                                                         Not enough stars (1 < 30)
CarloLepelaars/skq                                                                                   Not enough stars (1 < 30)
cda-tum/mqt-qubomaker                                                                                Archived repository
cduck/bloch_sphere                                                                                   Inactive since 2023-02-27
cduck/feynman_path                                                                                   Inactive since 2023-02-26
ceneezer/Tet-craft                                                                                   Not enough stars (3 < 30)
centralesupelec-projects/st7-quantum-computing-labs                                                  Not enough stars (0 < 30)
CERN-IT-INNOVATION/gqc                                                                               Not enough stars (4 < 30)
ChiShengChen/QuantumEEGNet                                                                           Not enough stars (7 < 30)
chizuchizu/amplify-hackathon                                                                         Inactive since 2021-03-29
christopher-altman/ibm-qml-kernel                                                                    Not enough stars (3 < 30)
christopher-altman/noise-aware-qnn-identifiability                                                   Not enough stars (3 < 30)
christopher-altman/quantum-kernel                                                                    Not enough stars (2 < 30)
christopher-altman/sqnt-hardware-demo                                                                Not enough stars (2 < 30)
christorange/QC-CNN                                                                                  Archived repository
circa10a/blockerized-dockchain                                                                       Inactive since 2022-07-22
cirKITers/masKIT                                                                                     Not enough stars (2 < 30)
cirKITers/mind-the-qapp                                                                              Not enough stars (3 < 30)
cirKITers/qml-essentials                                                                             Not enough stars (6 < 30)
codegeaslelouch/Brain-Tumor-QCNN-ResNet                                                              Not enough stars (0 < 30)
corbett/QuantumComputing                                                                             Inactive since 2022-12-29
CRYLOai/ai-wealth-manager                                                                            Not enough stars (1 < 30)
Cyberheroess/Quze                                                                                    Not enough stars (13 < 30)
dabacon/qsel                                                                                         Inactive since 2023-02-26
dakk/qlasskit                                                                                        Not enough contributors (6 < 10)
DanieleCucurachi/quantum-pde-solver                                                                  Not enough stars (0 < 30)
danieletrisciani/qaoa-excited-states-calculation                                                     Not enough stars (0 < 30)
danieletrisciani/Qudikit                                                                             Not enough stars (0 < 30)
DarkStarStrix/QSolvers                                                                               Archived repository
Data-Science-Big-Data-Research-Lab/GATE_GSI                                                          Not enough stars (0 < 30)
davidedellagiustina/qasp-solver                                                                      Not enough stars (1 < 30)
dcavar/nlqk                                                                                          Not enough stars (3 < 30)
DeathReaper42/Quantum-CoinFlipper                                                                    Not enough stars (0 < 30)
deryacatalyurek/quantum-reinforcement-learning                                                       Not enough stars (0 < 30)
devilkiller-ag/UnravelQuantum                                                                        Not enough stars (6 < 30)
dfki-ric-quantum/hyperlax-quantum                                                                    Not enough stars (0 < 30)
Disha23112004/diabetes-qml-prediction                                                                Not enough stars (0 < 30)
duartefrazao/Quantum-Finance-Algorithms                                                              Not enough stars (3 < 30)
dwavesystems/docs                                                                                    Inactive since 2020-02-25
dwavesystems/dwave-cloud-client                                                                      Not enough contributors (8 < 10)
